;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;
##################################################;;;;;;;;;;;;;;x,,,,,,,,
# Common Event Options;;;;;;;;;;;;;;x,,,,,,,,
##################################################;;;;;;;;;;;;;;x,,,,,,,,
EVTOPTBAD;This is bad news for us;;;;;;;;;;X;;;x,,,,,,,,
EVTOPTBV;Bienvenidos;;;;;;;;;;X;;;x,,,,,,,,
EVTOPTGOOD;Excellent!;;;;;;;;;;X;;;x,,,,,,,,
EVTOPTNO;No;;;;;;;;;;X;;;x,,,,,,,,
EVTOPTOHNO;Oh no!;;;;;;;;;;X;;;x,,,,,,,,
EVTOPTYES;Yes;;;;;;;;;;X;;;x,,,,,,,,
EVTNAME300151;The Continuation War;;;;;;;;;;;;;
EVTDESC300151;The war between the Romans and Kachuskaya never truly ended, even after we were expelled from our European holdings. Roman naval supremacy prevented any opportunity to force ourselves back onto the continent, but the decimation of the Roman armies prevented any attempt on their behalf to force a return onto the continent. However, in recent days, Roman raids along the coastline have picked up in frequency and scale, and it has become readily apparent that soon they will be making a play to seize back control over the coastline of Anatolia. Defeatists in our advisory council suggest that, given the exceeding disloyalty of our coastal holdings and large Roman populations, it may be wise to withdraw to the interior without a contest, in hopes of buying us time while the Romans are forced to reincorporate these lands. Others, veterans of the prior European campaigns, suggest that to surrender now would be to end any pretense at Kachuskayan greatness.;;;;;;;;;;;;;
EVTOPTA300151;We are not ready.;;;;;;;;;;;;;
EVTOPTB300151;Old Kachuskaya looks down on us with pride.;;;;;;;;;;;;;
EVTNAME300152;Reclamation of Anatolia;;;;;;;;;;;;;
EVTDESC300152;The lands of western Anatolia have been retaken in the name of the one true Rhomaion empire! The Kachuskayan invaders are now being expelled, forced out from the lands they stole and cleansed from the rightful lands of Rome. Even the Latins, weak-willed as many are, do not hold this act against the Hellenic population.;;;;;;;;;;;;;
EVTOPTA300152;Today, Smyrna. Tomorrow, all of Anatolia.;;;;;;;;;;;;;
EVTNAME1111;Victory in the Interregnum!;;;;;;;;;;;;;
EVTDESC1111;The kingdom of Lotharingia has been reunited at last under the benevolent rule of Lower Lotharingia, bringing an end to the bloody civil war that has so thoroughly ruined the great kingdom of Lothair.;;;;;;;;;;;;;
EVTNAME9006006;The Karling Coronation;;;;;;;;;;;;;
EVTDESC9006006;On this day, the kingdom of the Karlings has taken a hold of all the ancient domains of those great Carolingians of Middle Frankia upon itself once again. Lotharingia, ascendant once again as the pride of the Catholic world, now stands poised to see the great Karling coronated once more by the Pope in Rome. But what role shall it take upon itself, in this new age?;;;;;;;;;;;;;
EVTOPTA9006006;A new Charlemagne, Holy Roman Emperor!;;;;;;;;;;;;;
EVTOPTB9006006;Lothaire's natural borders!;;;;;;;;;;;;;
EVTOPTC9006006;The middle kingdom of the franks is enough.;;;;;;;;;;;;;
EVTNAME9006007;The Heir to Charlemagne;;;;;;;;;;;;;
EVTDESC9006007;For the first time in nearly a thousand years, the lands of the one-great empire of Charlemagne have been reunited in full by the great efforts of the Holy Roman Emperor. Restorer of all that is orderly to the lands of Europe, the heirs to the Karling bloodline shall eternally venerate this day.;;;;;;;;;;;;;
EVTOPTA9006007;Holy God blesses him!;;;;;;;;;;;;;
EVTNAME9006008;Sic Transit Gloria Mundi;;;;;;;;;;;;;
EVTDESC9006008;All imperial restorations cannot last forever. All kingdoms come to an end, all empires die. The Holy Roman Empire under Lothair the Great could not last forever, and whether it be by political upheaval or by the simple wear of time, his rule has come to an end with the death of the late emperor. With no clear succession in place, the realms of the empire have rapidly begun to secede and break away under petty nobles and bastard heirs. As the kingdom remains in a regency, there is nothing that can be done as of yet.;;;;;;;;;;;;;
EVTOPTA9006008;The crown, shattering.;;;;;;;;;;;;;
EVTNAME9006009;The Ultimatum Aquisgrani;;;;;;;;;;;;;
EVTDESC9006009;The petty nobles of the empire, already all but totally independent, have come now with a final ultimatum to the central government of the empire, demanding their total independence with no further provisions towards even respecting the central government nominally. While many hardliners in the government believe it best to reject this and muster what armies remain under the empire's control, this war would undoubtedly be an uphill one against the entrenched and powerful nobles of the empire. It may well be best to simply recognize the empire as dead, and return to Lotharingia to muster what little is left.;;;;;;;;;;;;;;
EVTOPTA9006009;Reject the ultimatum! To arms!;;;;;;;;;;;;;
EVTOPTB9006009;Lotharingia must endure, empire or not.;;;;;;;;;;;;;
EVTNAME9006010;The Golden Eagle Victorious;;;;;;;;;;;;;
