;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;x;
concede_finland_title;Integrate Finland;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
concede_finland_desc;Finland has been autonomous since the conclusion of the eastern conquests, but now with increased ease of administration we can finally reintegrate the duchy into Sweden proper.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
GC_NAME;The Northern Struggle;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
GC_DESC;A concert of nations and empires, crumbling and rising, old and new, the sound of cries of joy and pain can be heard across from europe to andronica, from himilconis to asia, the once proud lion of the north is dying, a cancer has taken root, a leg may need to be cut to prevent further infection, grudges and oaths are reinforced every day evermore, what a glorious time this is, a brand new world aproaches, one which will be ruled by either the Now or the Old, such is the struggle of man.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
zoroastrian_country;Zoroastrian Religion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"	"
zoroastrian;Mazdayasna;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
manichaeism_country;Manichaeism Religion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"	"
manichaeism;Manichaeism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nestorian_country;Syro-Oriental Religion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
punic_church_country;Indictian Religion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
punic_church;Indictian Church;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
colonial_company;Autonomous Dependency;;;;;;;;;;;;x
colonial_company_ruler;Governor;;;;;;;;;;;;x
autonomous_dependency;Autonomous Dependency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
